시도,평균,교원 1인당 학생수,보육시설 수,학교 수,사설학원 수
서울특별시 종로구,0.6839,0.8505,0.6248,0.2249,0.8126
서울특별시 중구,0.5013,0.8729,0.4147,0.2294,0.2944
서울특별시 용산구,0.2679,0.6479,0.3804,0.1281,0.1629
서울특별시 성동구,0.2464,0.7661,0.227,0.1308,0.3366
서울특별시 광진구,0.4879,0.9309,0.4263,0.1278,0.4607
서울특별시 동대문구,0.5119,0.982,0.647,0.1325,0.3491
서울특별시 중랑구,0.1537,0.6662,0.5087,0.1139,0.1587
서울특별시 성북구,0.4649,0.9638,0.5675,0.1487,0.3618
서울특별시 강북구,0.1063,0.4979,0.5205,0.1031,0.1587
서울특별시 도봉구,0.4725,0.6128,0.8863,0.1271,0.3182
서울특별시 노원구,0.8054,0.8652,0.9685,0.1785,0.5688
서울특별시 은평구,0.1314,0.5267,0.4263,0.1299,0.3746
서울특별시 서대문구,0.3663,0.9131,0.1848,0.124,0.3941
서울특별시 마포구,0.5487,0.8817,0.2181,0.1088,0.7789
서울특별시 양천구,0.5632,0.568,0.7305,0.137,0.9588
서울특별시 강서구,0.2969,0.5213,0.5558,0.1323,0.4405
서울특별시 구로구,0.3886,0.7491,0.7859,0.1206,0.3618
서울특별시 금천구,0.2392,0.3599,0.8484,0.1253,0.2944
서울특별시 영등포구,0.2797,0.3874,0.5558,0.1333,0.5013
서울특별시 동작구,0.3623,0.9217,0.3149,0.1173,0.4271
서울특별시 관악구,0.1501,0.411,0.658,0.1045,0.2658
서울특별시 서초구,0.503,0.3557,0.0572,0.1037,0.9882
서울특별시 강남구,0.5955,0.5195,0.0851,0.125,1
서울특별시 송파구,0.4632,0.5204,0.2642,0.1214,0.7021
서울특별시 강동구,0.3951,0.487,0.4614,0.1264,0.6471
부산광역시 중구,0.3472,0.3193,0.274,0.1844,0.5621
부산광역시 서구,0.2663,0.3667,0.177,0.1874,0.3122
부산광역시 동구,0.3953,0.3145,0.6021,0.1898,0.2181
부산광역시 영도구,0.4087,0.6913,0.4147,0.2295,0.1547
부산광역시 부산진구,0.5995,0.7389,0.1621,0.1929,0.6596
부산광역시 동래구,0.5999,0.5465,0.1412,0.1845,0.8769
부산광역시 남구,0.619,0.9808,0.227,0.1578,0.4271
부산광역시 북구,0.5832,0.6736,0.4263,0.1812,0.542
부산광역시 해운대구,0.5989,0.6479,0.2546,0.1516,0.6902
부산광역시 사하구,0.7165,0.8767,0.4614,0.1878,0.5487
부산광역시 금정구,0.7324,0.9775,0.236,0.1915,0.7308
부산광역시 강서구,0.2152,0.478,0.0721,0.299,0.5149
부산광역시 연제구,0.5233,0.7877,0.0851,0.1273,0.5621
부산광역시 수영구,0.4581,0.4888,0.1694,0.1379,0.6902
부산광역시 사상구,0.5093,0.9911,0.4614,0.1849,0.2181
부산광역시 기장군,0.5007,0.6128,0.4968,0.2804,0.4271
대구광역시 중구,0.6247,0.426,0.0607,0.2592,1
대구광역시 동구,0.3777,0.3805,0.2011,0.2056,0.3811
대구광역시 서구,0.5229,0.2947,0.8973,0.1844,0.2439
대구광역시 남구,0.4699,0.805,0.1549,0.1707,0.2334
대구광역시 북구,0.7195,0.8821,0.2941,0.2208,0.5621
대구광역시 수성구,0.707,0.5919,0.1848,0.1782,0.9541
대구광역시 달서구,0.766,0.7584,0.3149,0.2051,0.7738
대구광역시 달성군,0.499,0.4367,0.0681,0.2675,0.6407
인천광역시 중구,0.3333,0.4083,0.6135,0.2762,0.2231
인천광역시 동구,0.7253,0.9109,0.9374,0.2757,0.1714
인천광역시 연수구,0.7789,0.8062,0.3044,0.1773,0.808
인천광역시 남동구,0.5361,0.5892,0.3471,0.1813,0.5554
인천광역시 부평구,0.5,0.4906,0.636,0.1694,0.4946
인천광역시 계양구,0.5639,0.5875,0.8919,0.1723,0.4878
인천광역시 서구,0.4347,0.6326,0.4263,0.1923,0.5554
인천광역시 미추홀구,0.3674,0.9381,0.2452,0.0977,0.2714
인천광역시 강화군,0.1909,0.1871,0.0681,0.749,0.1714
인천광역시 옹진군,0.5987,0.0493,0.7402,0.9657,0.0334
광주광역시 동구,0.6093,0.9944,0.2941,0.2912,0.9947
광주광역시 서구,0.7607,0.5078,0.8028,0.2298,0.984
광주광역시 남구,0.6859,0.752,0.4732,0.3263,0.986
광주광역시 북구,0.6689,0.7337,0.5087,0.3234,0.8803
광주광역시 광산구,0.7236,0.764,0.7772,0.3055,0.9671
대전광역시 동구,0.7541,0.9614,0.8863,0.2256,0.2828
대전광역시 중구,0.6226,0.3242,0.9025,0.2692,0.6019
대전광역시 서구,1,0.7591,0.9025,0.216,0.8303
대전광역시 유성구,0.968,0.8118,0.8109,0.3025,0.6658
대전광역시 대덕구,0.8592,0.7811,0.9725,0.2537,0.5487
울산광역시 중구,0.6832,0.5474,0.2095,0.2143,0.8869
울산광역시 남구,0.8894,0.5848,0.544,0.1977,0.9997
울산광역시 동구,0.7956,0.7884,0.3255,0.2352,0.7582
울산광역시 북구,0.7281,0.5033,0.3471,0.2703,0.8171
울산광역시 울주군,0.7199,0.5249,0.2546,0.3479,0.7937
세종특별자치시 세종시,0.587,0.6146,0.274,0.3272,0.7079
경기도 수원시,0.7801,0.7292,0.7944,0.2024,0.7888
경기도 성남시,0.7748,0.7668,0.5087,0.1812,0.9081
경기도 의정부시,0.8666,0.757,0.9806,0.1779,0.7138
경기도 안양시,0.8866,0.8934,0.8109,0.1748,0.8429
경기도 부천시,0.5391,0.7675,0.5675,0.1795,0.6471
경기도 광명시,0.7989,0.542,0.917,0.179,0.7839
경기도 평택시,0.655,0.7337,0.4968,0.2936,0.6019
경기도 동두천시,0.4777,0.6007,0.9998,0.3045,0.3243
경기도 안산시,0.6281,0.7929,0.8683,0.1896,0.6658
경기도 고양시,0.7661,0.6223,0.7305,0.1979,0.8662
경기도 과천시,0.7262,0.4798,0.9075,0.1757,0.5284
경기도 구리시,0.6839,0.5822,0.647,0.1889,0.808
경기도 남양주시,0.6473,0.7396,0.7859,0.203,0.5554
경기도 오산시,0.74,0.9057,0.7591,0.277,0.4878
경기도 시흥시,0.6935,0.8031,0.7305,0.2185,0.672
경기도 군포시,0.8557,0.5989,0.9214,0.2165,0.7138
경기도 의왕시,0.8337,0.7527,0.8619,0.1959,0.4271
경기도 하남시,0.426,0.5795,0.2941,0.1716,0.3811
경기도 용인시,0.8399,0.8613,0.636,0.2172,0.8216
경기도 파주시,0.5562,0.6411,0.7498,0.3085,0.5013
경기도 이천시,0.5669,0.7171,0.438,0.3924,0.8033
경기도 안성시,0.8854,0.9689,0.9806,0.4727,0.4878
경기도 김포시,0.6643,0.7577,0.4497,0.27,0.7252
경기도 화성시,0.7077,0.8757,0.3804,0.2818,0.7528
경기도 광주시,0.3887,0.81,0.5323,0.1367,0.3941
경기도 양주시,0.7058,0.8598,0.9856,0.325,0.4072
경기도 포천시,0.7527,0.7777,0.9075,0.46,0.2828
경기도 여주시,0.7788,0.7374,0.6135,0.6109,0.3746
경기도 연천군,0.4499,0.1723,0.7682,0.6692,0.2386
경기도 가평군,0.435,0.2628,0.7004,0.5094,0.2944
경기도 양평군,0.2166,0.3583,0.236,0.4597,0.1939
강원도 춘천시,0.9163,0.7936,0.834,0.6959,0.7021
강원도 원주시,0.8496,0.8962,0.9124,0.3281,0.7937
강원도 강릉시,0.7821,0.8541,0.7106,0.3391,0.8469
강원도 동해시,0.5509,0.4269,0.7106,0.4135,0.7021
강원도 태백시,0.3456,0.3744,0.4732,0.7329,0.4138
강원도 속초시,0.3912,0.4798,0.7106,0.2378,0.6019
강원도 삼척시,0.8884,0.8307,0.7498,0.6684,0.3243
강원도 홍천군,0.434,0.1225,0.6795,0.8803,0.4271
강원도 횡성군,0.7509,0.2808,0.8413,0.8616,0.3122
강원도 영월군,0.6244,0.123,0.4968,0.9444,0.1802
강원도 평창군,0.2596,0.0814,0.4497,0.9494,0.2334
강원도 정선군,0.1452,0.071,0.2095,0.9552,0.1847
강원도 철원군,0.3258,0.1787,0.2642,0.7859,0.3746
강원도 화천군,0.3247,0.0764,0.4147,0.9919,0.1939
강원도 양구군,0.1876,0.0918,0.2941,0.9664,0.2658
강원도 인제군,0.2333,0.0948,0.3581,0.9521,0.2828
강원도 고성군,0.3854,0.506,0.3918,0.9491,0.1177
강원도 양양군,0.3986,0.0668,0.177,0.9884,0.1802
충청북도 충주시,0.8624,0.8214,0.485,0.408,0.5755
충청북도 제천시,0.6123,0.8142,0.236,0.4671,0.5821
충청북도 청주시,0.8351,0.8056,0.5906,0.2424,0.7634
충청북도 보은군,0.391,0.068,0.0304,0.9535,0.1847
충청북도 옥천군,0.6201,0.344,0.5791,0.6227,0.128
충청북도 영동군,0.5048,0.5813,0.0681,0.7517,0.2602
충청북도 진천군,0.1948,0.2978,0.2642,0.4136,0.3941
충청북도 괴산군,0.6809,0.6369,0.6135,0.8692,0.0723
충청북도 음성군,0.7805,0.813,0.7402,0.5288,0.277
충청북도 단양군,0.679,0.068,0.8683,0.9034,0.0848
충청북도 증평군,0.3556,0.3448,0.0999,0.2702,0.5821
충청남도 천안시,0.7677,0.9262,0.7859,0.2458,0.8509
충청남도 공주시,0.9708,0.752,0.9705,0.7172,0.4742
충청남도 보령시,0.6917,0.3566,0.6688,0.7027,0.4946
충청남도 아산시,0.7662,0.8682,0.9565,0.2898,0.5149
충청남도 서산시,0.4736,0.6889,0.5675,0.4233,0.5487
충청남도 논산시,0.6768,0.4128,0.9075,0.6728,0.3618
충청남도 계룡시,0.8135,0.5813,0.8805,0.2796,0.4742
충청남도 당진시,0.3652,0.6521,0.4732,0.3928,0.4675
충청남도 금산군,0.7188,0.917,0.9591,0.7347,0.1506
충청남도 부여군,0.4818,0.1136,0.4032,0.8614,0.1802
충청남도 서천군,0.6138,0.0814,0.6688,0.8722,0.3243
충청남도 청양군,0.7694,0.2562,0.8552,0.9009,0.1353
충청남도 홍성군,0.6033,0.8598,0.3149,0.5819,0.4878
충청남도 예산군,0.4369,0.1491,0.3362,0.7557,0.3003
충청남도 태안군,0.5712,0.1277,0.3255,0.7601,0.7138
전라북도 전주시,0.8056,0.838,0.8683,0.2721,0.999
전라북도 군산시,0.8449,0.8208,0.69,0.4582,0.9163
전라북도 익산시,0.9334,0.7844,0.7772,0.5359,0.9415
전라북도 정읍시,0.66,0.2369,0.8863,0.8472,0.7789
전라북도 남원시,0.8382,0.1491,0.9617,0.8344,0.6215
전라북도 김제시,0.4906,0.123,0.7859,0.9452,0.3811
전라북도 완주군,0.6903,0.6977,0.5906,0.8326,0.6019
전라북도 진안군,0.0306,0.0297,0.0149,0.9966,0.0678
전라북도 무주군,0.1036,0.0761,0.2011,0.962,0.1802
전라북도 장수군,0.1613,0.0585,0.0572,0.9585,0.128
전라북도 임실군,0.0287,0.0628,0.0899,0.9859,0.1048
전라북도 순창군,0.0539,0.0601,0.1479,0.9865,0.1353
전라북도 고창군,0.2517,0.1131,0.438,0.9247,0.2547
전라북도 부안군,0.3643,0.0717,0.5906,0.9645,0.3182
전라남도 목포시,0.759,0.6744,0.8413,0.4002,0.9238
전라남도 여수시,0.3478,0.5204,0.1347,0.4618,0.8734
전라남도 순천시,0.8416,0.7382,0.8265,0.3773,0.8388
전라남도 나주시,0.469,0.6015,0.3255,0.5947,0.4271
전라남도 광양시,0.4901,0.4154,0.6021,0.4423,0.7252
전라남도 담양군,0.3737,0.3081,0.0325,0.7588,0.0499
전라남도 곡성군,0.778,0.813,0.4147,0.6845,0.2034
전라남도 구례군,0.3922,0.0856,0.2095,0.9091,0.1847
전라남도 고흥군,0.189,0.0859,0.3581,0.7846,0.2034
전라남도 보성군,0.0683,0.0701,0.0643,0.9662,0.1467
전라남도 화순군,0.6615,0.2191,0.999,0.6741,0.5217
전라남도 장흥군,0.1344,0.0881,0.274,0.9307,0.2082
전라남도 강진군,0.2276,0.0738,0.1929,0.9363,0.1892
전라남도 해남군,,0.1566,0.0186,0.7013,0.2602
전라남도 영암군,0.5228,0.6495,0.658,0.8382,0.2658
전라남도 무안군,0.8237,0.8715,0.485,0.5543,0.8769
전라남도 함평군,0.4961,0.0821,0.3362,0.9128,0.0902
전라남도 영광군,0.5122,0.1444,0.0248,0.7391,0.542
전라남도 장성군,0.0853,0.1324,0.0074,0.7959,0.2282
전라남도 완도군,0.0837,0.0821,0.1929,0.9629,0.1506
전라남도 진도군,0.2949,0.0835,0.1929,0.9181,0.2439
전라남도 신안군,0.2695,0.0212,0.1694,0.9915,0.0334
경상북도 포항시,0.6452,0.5591,0.8265,0.3422,0.6471
경상북도 경주시,0.6627,0.6857,0.7207,0.4451,0.5487
경상북도 김천시,0.5189,0.5213,0.647,0.5467,0.2828
경상북도 안동시,0.7815,0.7837,0.438,0.4912,0.672
경상북도 구미시,0.9158,0.7577,0.8484,0.3444,0.8836
경상북도 영주시,0.6489,0.791,0.274,0.5072,0.6902
경상북도 영천시,0.3817,0.3097,0.5087,0.4982,0.2828
경상북도 상주시,0.4685,0.1878,0.2452,0.8057,0.3746
경상북도 문경시,0.4576,0.2838,0.647,0.7155,0.4138
경상북도 경산시,0.7763,0.9965,0.4263,0.3325,0.5013
경상북도 군위군,0.247,0.0432,0.0999,0.8463,0.0554
경상북도 의성군,0.0836,0.0447,0.1106,0.8475,0.0573
경상북도 청송군,0.4436,0.0514,0.4732,0.9345,0.0988
경상북도 영양군,0.1529,0.0572,0.0539,0.9722,0.0593
경상북도 영덕군,0.0139,0.0877,0.1222,0.747,0.1714
경상북도 청도군,0.2946,0.1334,0.1694,0.7436,0.1547
경상북도 고령군,0.4778,0.1153,0.4263,0.6655,0.1671
경상북도 성주군,0.252,0.0888,0.1284,0.777,0.1211
경상북도 칠곡군,0.8217,0.5285,0.8413,0.4834,0.6658
경상북도 예천군,0.2797,0.2178,0.4147,0.6164,0.2547
경상북도 봉화군,0.0272,0.0572,0.0899,0.9832,0.07
경상북도 울진군,0.1987,0.1394,0.1848,0.765,0.3366
경상북도 울릉군,0.3,0.0371,0.0003,0.9962,0.0347
경상남도 진주시,0.9004,0.8166,0.7004,0.2672,0.9833
경상남도 통영시,0.8503,0.478,0.7591,0.3733,0.7474
경상남도 사천시,0.8182,0.3498,0.9025,0.3824,0.8126
경상남도 김해시,0.9055,0.6985,0.9537,0.2515,0.9189
경상남도 밀양시,0.6355,0.2446,0.6795,0.5076,0.542
경상남도 거제시,0.6174,0.6154,0.485,0.3622,0.8126
경상남도 양산시,0.5557,0.7247,0.7498,0.2376,0.6781
경상남도 창원시,0.9113,0.7292,0.8265,0.2661,0.8346
경상남도 의령군,0.4605,0.0444,0.3149,0.9311,0.1629
경상남도 함안군,0.7669,0.2591,0.9685,0.6683,0.4405
경상남도 창녕군,0.308,0.1465,0.1347,0.7859,0.2547
경상남도 고성군,0.6217,0.1291,0.3692,0.816,0.5284
경상남도 남해군,0.6532,0.2138,0.4263,0.8073,0.3243
경상남도 하동군,0.3184,0.0701,0.2011,0.8505,0.2231
경상남도 산청군,0.4212,0.0593,0.1848,0.9478,0.1211
경상남도 함양군,0.5064,0.1248,0.2642,0.7779,0.3062
경상남도 거창군,0.8178,0.5177,0.438,0.7091,0.5621
경상남도 합천군,0.164,0.0475,0.1621,0.9273,0.2386
제주특별자치도 제주시,0.6468,0.7505,0.4032,0.3291,0.6658
제주특별자치도 서귀포시,0.6468,0.7505,0.4032,0.3291,0.6658
